team1,team2,winner,margin,ground,matchDate,matchId
Namibia,Sri Lanka,Namibia,55 runs,Geelong,2022-10-16,1823
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,2022-10-16,1825
Scotland,West Indies,Scotland,42 runs,Hobart,2022-10-17,1826
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,2022-10-17,1828
Namibia,Netherlands,Netherlands,5 wickets,Geelong,2022-10-18,1830
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,2022-10-18,1832
Ireland,Scotland,Ireland,6 wickets,Hobart,2022-10-19,1833
West Indies,Zimbabwe,West Indies,31 runs,Hobart,2022-10-19,1834
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,2022-10-20,1835
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,2022-10-20,1836
Ireland,West Indies,Ireland,9 wickets,Hobart,2022-10-21,1837
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,2022-10-21,1838
Australia,New Zealand,New Zealand,89 runs,Sydney,2022-10-22,1839
Afghanistan,England,England,5 wickets,Perth,2022-10-22,1840
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,2022-10-23,1841
India,Pakistan,India,4 wickets,Melbourne,2022-10-23,1842
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,2022-10-24,1843
South Africa,Zimbabwe,no result,,Hobart,2022-10-24,1844
Australia,Sri Lanka,Australia,7 wickets,Perth,2022-10-25,1845
England,Ireland,Ireland,5 runs,Melbourne,2022-10-26,1846
Afghanistan,New Zealand,no result,,Melbourne,2022-10-26,1846a
Bangladesh,South Africa,South Africa,104 runs,Sydney,2022-10-27,1847
India,Netherlands,India,56 runs,Sydney,2022-10-27,1848
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,2022-10-27,1849
Afghanistan,Ireland,no result,,Melbourne,2022-10-28,1849a
Australia,England,no result,,Melbourne,2022-10-28,1849b
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,2022-10-29,1850
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,2022-10-30,1851
Netherlands,Pakistan,Pakistan,6 wickets,Perth,2022-10-30,1852
India,South Africa,South Africa,5 wickets,Perth,2022-10-30,1853
Australia,Ireland,Australia,42 runs,Brisbane,2022-10-31,1855
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,2022-11-01,1856
England,New Zealand,England,20 runs,Brisbane,2022-11-01,1858
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,2022-11-02,1859
Bangladesh,India,India,5 runs,Adelaide,2022-11-02,1860
Pakistan,South Africa,Pakistan,33 runs,Sydney,2022-11-03,1861
Ireland,New Zealand,New Zealand,35 runs,Adelaide,2022-11-04,1862
Australia,Afghanistan,Australia,4 runs,Adelaide,2022-11-04,1864
England,Sri Lanka,England,4 wickets,Sydney,2022-11-05,1867
Netherlands,South Africa,Netherlands,13 runs,Adelaide,2022-11-06,1871
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,2022-11-06,1872
India,Zimbabwe,India,71 runs,Melbourne,2022-11-06,1873
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,2022-11-09,1877
England,India,England,10 wickets,Adelaide,2022-11-10,1878
England,Pakistan,England,5 wickets,Melbourne,2022-11-13,1879
